Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.541 +- 0.038,0.541 +- 0.038,0.552 +- 0.039,0.544 +- 0.039,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.525 +- 0.045,0.525 +- 0.045,0.545 +- 0.051,0.531 +- 0.046,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.52 +- 0.04,0.52 +- 0.04,0.57 +- 0.063,0.535 +- 0.039,4.3 +- 2.369,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.528 +- 0.036,0.528 +- 0.036,0.564 +- 0.05,0.538 +- 0.039,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.499 +- 0.046,0.499 +- 0.046,0.518 +- 0.046,0.502 +- 0.042,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.497 +- 0.037,0.497 +- 0.037,0.601 +- 0.095,0.525 +- 0.041,4.3 +- 2.369,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.553 +- 0.038,0.553 +- 0.038,0.564 +- 0.039,0.555 +- 0.038,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.54 +- 0.052,0.54 +- 0.052,0.554 +- 0.049,0.544 +- 0.051,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.552 +- 0.043,0.552 +- 0.043,0.567 +- 0.051,0.556 +- 0.045,4.3 +- 2.369,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.546 +- 0.035,0.546 +- 0.035,0.562 +- 0.035,0.549 +- 0.036,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.553 +- 0.031,0.553 +- 0.031,0.566 +- 0.029,0.556 +- 0.03,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.524 +- 0.038,0.524 +- 0.038,0.576 +- 0.042,0.538 +- 0.031,4.3 +- 2.369,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.532 +- 0.036,0.532 +- 0.036,0.557 +- 0.049,0.536 +- 0.039,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.501 +- 0.042,0.501 +- 0.042,0.523 +- 0.057,0.506 +- 0.046,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.508 +- 0.042,0.508 +- 0.042,0.573 +- 0.056,0.525 +- 0.038,4.3 +- 2.369,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.505 +- 0.042,0.505 +- 0.042,0.529 +- 0.057,0.513 +- 0.043,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.521 +- 0.065,0.521 +- 0.065,0.533 +- 0.062,0.522 +- 0.065,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.515 +- 0.039,0.515 +- 0.039,0.544 +- 0.052,0.524 +- 0.037,4.3 +- 2.369,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.498 +- 0.056,0.498 +- 0.056,0.57 +- 0.102,0.518 +- 0.047,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.516 +- 0.042,0.516 +- 0.042,0.541 +- 0.046,0.521 +- 0.039,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.492 +- 0.049,0.492 +- 0.049,0.611 +- 0.122,0.524 +- 0.051,4.3 +- 2.369,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.462 +- 0.053,0.462 +- 0.053,0.622 +- 0.158,0.51 +- 0.065,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.504 +- 0.041,0.504 +- 0.041,0.521 +- 0.062,0.506 +- 0.049,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.479 +- 0.048,0.479 +- 0.048,0.631 +- 0.138,0.523 +- 0.055,4.3 +- 2.369,50.0
