Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.466 +- 0.081,0.466 +- 0.081,0.966 +- 0.03,0.604 +- 0.057,4.5 +- 0.5,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.586 +- 0.164,0.586 +- 0.164,0.985 +- 0.023,0.708 +- 0.136,2.4 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.427 +- 0.045,0.427 +- 0.045,0.981 +- 0.031,0.578 +- 0.025,4.7 +- 0.458,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.473 +- 0.11,0.473 +- 0.11,0.978 +- 0.036,0.613 +- 0.083,4.6 +- 0.49,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.608 +- 0.15,0.608 +- 0.15,0.98 +- 0.031,0.728 +- 0.12,2.5 +- 0.671,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.483 +- 0.113,0.483 +- 0.113,0.933 +- 0.081,0.614 +- 0.094,4.2 +- 0.6,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.467 +- 0.116,0.467 +- 0.116,0.952 +- 0.082,0.604 +- 0.084,4.7 +- 0.458,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.608 +- 0.16,0.608 +- 0.16,0.979 +- 0.033,0.732 +- 0.131,2.4 +- 0.49,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.41 +- 0.039,0.41 +- 0.039,0.982 +- 0.037,0.573 +- 0.028,4.3 +- 0.64,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.456 +- 0.108,0.456 +- 0.108,0.956 +- 0.059,0.604 +- 0.088,4.8 +- 0.4,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.581 +- 0.16,0.581 +- 0.16,0.99 +- 0.02,0.71 +- 0.127,2.4 +- 0.49,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.423 +- 0.095,0.423 +- 0.095,0.994 +- 0.017,0.587 +- 0.077,4.6 +- 0.49,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.387 +- 0.055,0.387 +- 0.055,0.963 +- 0.079,0.543 +- 0.055,4.5 +- 0.671,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.592 +- 0.168,0.592 +- 0.168,0.995 +- 0.014,0.72 +- 0.133,2.4 +- 0.49,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.377 +- 0.132,0.377 +- 0.132,0.993 +- 0.02,0.529 +- 0.119,4.3 +- 0.781,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.365 +- 0.08,0.365 +- 0.08,0.993 +- 0.02,0.524 +- 0.079,4.5 +- 0.5,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.603 +- 0.157,0.603 +- 0.157,0.981 +- 0.041,0.726 +- 0.132,2.4 +- 0.49,50.0
