Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.745 +- 0.048,0.636 +- 0.143,0.37 +- 0.082,0.465 +- 0.097,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.716 +- 0.021,0.63 +- 0.295,0.11 +- 0.092,0.175 +- 0.125,8.2 +- 3.124,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.749 +- 0.045,0.636 +- 0.126,0.37 +- 0.104,0.465 +- 0.113,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.757 +- 0.057,0.663 +- 0.164,0.397 +- 0.107,0.493 +- 0.122,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.714 +- 0.021,0.666 +- 0.233,0.113 +- 0.095,0.178 +- 0.127,8.2 +- 3.124,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.746 +- 0.041,0.631 +- 0.123,0.393 +- 0.092,0.479 +- 0.09,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.737 +- 0.06,0.611 +- 0.158,0.413 +- 0.091,0.486 +- 0.1,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.73 +- 0.023,0.719 +- 0.164,0.183 +- 0.079,0.282 +- 0.1,8.2 +- 3.124,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.734 +- 0.067,0.593 +- 0.157,0.413 +- 0.102,0.484 +- 0.117,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.712 +- 0.051,0.541 +- 0.12,0.467 +- 0.147,0.485 +- 0.099,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.725 +- 0.023,0.742 +- 0.175,0.143 +- 0.07,0.232 +- 0.098,8.2 +- 3.124,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.712 +- 0.067,0.529 +- 0.123,0.483 +- 0.106,0.503 +- 0.107,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.692 +- 0.042,0.493 +- 0.063,0.527 +- 0.103,0.504 +- 0.064,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.713 +- 0.016,0.634 +- 0.183,0.12 +- 0.06,0.194 +- 0.089,8.2 +- 3.124,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.694 +- 0.063,0.495 +- 0.104,0.527 +- 0.125,0.506 +- 0.101,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.7 +- 0.064,0.508 +- 0.096,0.513 +- 0.128,0.503 +- 0.103,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.717 +- 0.031,0.568 +- 0.263,0.143 +- 0.101,0.219 +- 0.138,8.2 +- 3.124,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.687 +- 0.037,0.481 +- 0.06,0.537 +- 0.133,0.5 +- 0.086,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.736 +- 0.036,0.659 +- 0.14,0.263 +- 0.108,0.365 +- 0.114,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.721 +- 0.021,0.701 +- 0.315,0.103 +- 0.074,0.174 +- 0.116,8.2 +- 3.124,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.744 +- 0.039,0.724 +- 0.174,0.283 +- 0.176,0.368 +- 0.182,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.743 +- 0.053,0.652 +- 0.183,0.36 +- 0.165,0.436 +- 0.166,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.719 +- 0.021,0.653 +- 0.28,0.117 +- 0.078,0.189 +- 0.116,8.2 +- 3.124,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.737 +- 0.056,0.674 +- 0.183,0.373 +- 0.176,0.436 +- 0.167,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.727 +- 0.047,0.561 +- 0.105,0.453 +- 0.128,0.493 +- 0.102,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.723 +- 0.028,0.701 +- 0.199,0.163 +- 0.057,0.259 +- 0.079,8.2 +- 3.124,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.727 +- 0.048,0.574 +- 0.121,0.423 +- 0.126,0.476 +- 0.099,2.0 +- 0.0,50.0
