Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.689 +- 0.206,0.421 +- 0.397,0.573 +- 0.474,0.462 +- 0.4,7.6 +- 2.154,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.944 +- 0.033,0.951 +- 0.049,0.902 +- 0.097,0.921 +- 0.051,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.759 +- 0.085,0.9 +- 0.3,0.354 +- 0.229,0.483 +- 0.242,6.6 +- 2.615,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.745 +- 0.107,0.687 +- 0.451,0.329 +- 0.314,0.407 +- 0.343,8.4 +- 1.96,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.868 +- 0.051,0.995 +- 0.014,0.652 +- 0.143,0.778 +- 0.095,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.784 +- 0.116,0.77 +- 0.388,0.444 +- 0.33,0.525 +- 0.341,6.8 +- 2.4,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.743 +- 0.111,0.69 +- 0.453,0.321 +- 0.315,0.398 +- 0.343,8.5 +- 1.432,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.828 +- 0.044,0.928 +- 0.109,0.609 +- 0.137,0.719 +- 0.082,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.791 +- 0.105,0.707 +- 0.371,0.53 +- 0.336,0.578 +- 0.329,5.9 +- 2.737,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.705 +- 0.1,0.394 +- 0.483,0.213 +- 0.277,0.27 +- 0.341,9.0 +- 1.483,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.889 +- 0.059,0.929 +- 0.102,0.784 +- 0.162,0.834 +- 0.099,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.588 +- 0.238,0.473 +- 0.347,0.748 +- 0.384,0.536 +- 0.307,5.9 +- 2.385,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.638 +- 0.171,0.374 +- 0.433,0.37 +- 0.421,0.315 +- 0.342,8.2 +- 1.887,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.464 +- 0.139,0.455 +- 0.184,0.957 +- 0.129,0.581 +- 0.056,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.601 +- 0.211,0.429 +- 0.367,0.621 +- 0.426,0.46 +- 0.323,7.4 +- 2.835,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.574 +- 0.186,0.297 +- 0.278,0.6 +- 0.49,0.387 +- 0.336,8.1 +- 1.868,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.6 +- 0.183,0.634 +- 0.283,0.807 +- 0.228,0.619 +- 0.06,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.614 +- 0.216,0.486 +- 0.332,0.716 +- 0.386,0.533 +- 0.292,6.7 +- 2.648,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.548 +- 0.183,0.487 +- 0.365,0.627 +- 0.402,0.45 +- 0.227,8.6 +- 1.8,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.724 +- 0.22,0.713 +- 0.251,0.879 +- 0.156,0.738 +- 0.147,2.0 +- 0.0,50.0
