Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
naive_bayes_3_clusters_entropy_voting_fusion,4,0.333 +- 0.0,0.333 +- 0.0,1.0 +- 0.0,0.5 +- 0.0,3.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,124,0.96 +- 0.061,0.96 +- 0.061,0.965 +- 0.056,0.96 +- 0.06,2.2 +- 0.6,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,124,0.94 +- 0.063,0.94 +- 0.063,0.952 +- 0.054,0.941 +- 0.062,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,124,0.96 +- 0.061,0.96 +- 0.061,0.965 +- 0.056,0.96 +- 0.06,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.967 +- 0.045,0.967 +- 0.045,0.976 +- 0.03,0.967 +- 0.043,2.2 +- 0.6,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.953 +- 0.067,0.953 +- 0.067,0.963 +- 0.057,0.954 +- 0.066,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.967 +- 0.045,0.967 +- 0.045,0.976 +- 0.03,0.967 +- 0.043,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_fusion,1234,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,2.2 +- 0.6,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_fusion,1234,0.933 +- 0.094,0.933 +- 0.094,0.963 +- 0.057,0.939 +- 0.083,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_fusion,1234,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,124,0.9 +- 0.198,0.9 +- 0.198,0.971 +- 0.057,0.917 +- 0.151,2.2 +- 0.6,100.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,124,0.34 +- 0.02,0.34 +- 0.02,0.995 +- 0.016,0.501 +- 0.004,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,124,0.96 +- 0.061,0.96 +- 0.061,0.965 +- 0.056,0.96 +- 0.06,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.907 +- 0.196,0.907 +- 0.196,0.981 +- 0.029,0.924 +- 0.147,2.2 +- 0.6,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.34 +- 0.02,0.34 +- 0.02,0.995 +- 0.016,0.501 +- 0.004,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.967 +- 0.045,0.967 +- 0.045,0.976 +- 0.03,0.967 +- 0.043,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.9 +- 0.184,0.9 +- 0.184,0.904 +- 0.181,0.901 +- 0.183,2.2 +- 0.6,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.407 +- 0.101,0.407 +- 0.101,0.571 +- 0.222,0.462 +- 0.129,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.953 +- 0.079,0.953 +- 0.079,0.957 +- 0.078,0.954 +- 0.079,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.627 +- 0.061,0.627 +- 0.061,0.935 +- 0.099,0.736 +- 0.07,2.2 +- 0.6,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.593 +- 0.076,0.593 +- 0.076,0.929 +- 0.092,0.693 +- 0.086,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.627 +- 0.061,0.627 +- 0.061,0.941 +- 0.097,0.735 +- 0.071,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.633 +- 0.045,0.633 +- 0.045,0.963 +- 0.049,0.741 +- 0.053,2.2 +- 0.6,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.613 +- 0.065,0.613 +- 0.065,0.931 +- 0.096,0.717 +- 0.075,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.633 +- 0.045,0.633 +- 0.045,0.969 +- 0.041,0.74 +- 0.054,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.62 +- 0.079,0.62 +- 0.079,0.931 +- 0.12,0.724 +- 0.092,2.2 +- 0.6,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.62 +- 0.067,0.62 +- 0.067,0.936 +- 0.098,0.726 +- 0.078,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.62 +- 0.079,0.62 +- 0.079,0.937 +- 0.119,0.723 +- 0.092,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.56 +- 0.127,0.56 +- 0.127,0.935 +- 0.099,0.681 +- 0.113,2.2 +- 0.6,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.573 +- 0.112,0.573 +- 0.112,0.94 +- 0.097,0.682 +- 0.108,4.0 +- 0.0,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.56 +- 0.127,0.56 +- 0.127,0.941 +- 0.097,0.68 +- 0.112,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.567 +- 0.124,0.567 +- 0.124,0.963 +- 0.049,0.685 +- 0.105,2.2 +- 0.6,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.587 +- 0.078,0.587 +- 0.078,0.92 +- 0.093,0.687 +- 0.089,4.0 +- 0.0,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.567 +- 0.124,0.567 +- 0.124,0.969 +- 0.041,0.684 +- 0.105,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.553 +- 0.133,0.553 +- 0.133,0.931 +- 0.12,0.669 +- 0.122,2.2 +- 0.6,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.58 +- 0.13,0.58 +- 0.13,0.98 +- 0.041,0.701 +- 0.112,4.0 +- 0.0,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.553 +- 0.133,0.553 +- 0.133,0.937 +- 0.119,0.668 +- 0.122,2.0 +- 0.0,50.0
