Experiment Params,Variation,Accuracy,Recall,Precision,F1,Clusters,Mutual information
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,124,0.74 +- 0.055,0.728 +- 0.136,0.421 +- 0.145,0.519 +- 0.127,3.9 +- 2.948,100.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,124,0.758 +- 0.067,0.699 +- 0.13,0.559 +- 0.108,0.616 +- 0.105,2.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.747 +- 0.059,0.684 +- 0.118,0.522 +- 0.108,0.588 +- 0.104,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.762 +- 0.044,0.743 +- 0.092,0.489 +- 0.117,0.581 +- 0.109,3.9 +- 2.948,75.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.741 +- 0.061,0.684 +- 0.129,0.492 +- 0.107,0.568 +- 0.108,2.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_ss_weighted_membership_entropy_fusion,1234,0.737 +- 0.047,0.679 +- 0.108,0.488 +- 0.105,0.561 +- 0.087,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_weighted_membership_entropy_fusion,1234,0.707 +- 0.17,0.675 +- 0.195,0.481 +- 0.17,0.538 +- 0.177,3.9 +- 2.948,50.0
classifier_selection_compare_clusters_silhouette_weighted_membership_entropy_fusion,1234,0.737 +- 0.041,0.681 +- 0.086,0.485 +- 0.116,0.556 +- 0.094,2.1 +- 0.3,50.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,124,0.753 +- 0.054,0.709 +- 0.113,0.5 +- 0.098,0.583 +- 0.102,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,124,0.741 +- 0.05,0.735 +- 0.131,0.433 +- 0.09,0.536 +- 0.083,3.9 +- 2.948,100.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,124,0.749 +- 0.058,0.703 +- 0.122,0.507 +- 0.106,0.582 +- 0.102,2.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.75 +- 0.046,0.744 +- 0.112,0.456 +- 0.119,0.553 +- 0.101,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.754 +- 0.059,0.73 +- 0.118,0.496 +- 0.108,0.582 +- 0.097,3.9 +- 2.948,75.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.745 +- 0.051,0.719 +- 0.122,0.463 +- 0.12,0.552 +- 0.109,2.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_ss_cluster_density_fusion,1234,0.753 +- 0.032,0.784 +- 0.076,0.414 +- 0.115,0.53 +- 0.097,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_cluster_density_fusion,1234,0.741 +- 0.063,0.741 +- 0.163,0.455 +- 0.086,0.552 +- 0.079,3.9 +- 2.948,50.0
classifier_selection_compare_clusters_silhouette_cluster_density_fusion,1234,0.755 +- 0.048,0.762 +- 0.111,0.44 +- 0.119,0.548 +- 0.115,2.1 +- 0.3,50.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,124,0.668 +- 0.065,0.528 +- 0.084,0.698 +- 0.151,0.591 +- 0.079,2.0 +- 0.0,100.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,124,0.751 +- 0.069,0.685 +- 0.167,0.497 +- 0.17,0.567 +- 0.175,3.9 +- 2.948,100.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,124,0.685 +- 0.054,0.539 +- 0.056,0.761 +- 0.1,0.627 +- 0.056,2.1 +- 0.3,100.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.693 +- 0.064,0.608 +- 0.132,0.56 +- 0.201,0.546 +- 0.096,2.0 +- 0.0,75.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.745 +- 0.063,0.693 +- 0.133,0.451 +- 0.185,0.529 +- 0.191,3.9 +- 2.948,75.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.694 +- 0.065,0.587 +- 0.115,0.612 +- 0.193,0.572 +- 0.097,2.1 +- 0.3,75.0
classifier_selection_compare_clusters_dbc_ss_entropy_voting_fusion,1234,0.712 +- 0.087,0.745 +- 0.159,0.414 +- 0.143,0.497 +- 0.064,2.0 +- 0.0,50.0
classifier_selection_compare_clusters_dbc_entropy_voting_fusion,1234,0.741 +- 0.06,0.724 +- 0.148,0.465 +- 0.179,0.535 +- 0.169,3.9 +- 2.948,50.0
classifier_selection_compare_clusters_silhouette_entropy_voting_fusion,1234,0.707 +- 0.089,0.696 +- 0.163,0.477 +- 0.175,0.524 +- 0.086,2.1 +- 0.3,50.0
